order,indices,coefficient
1,330,-1.353453342174324E-4
1,542,1.3523442289232457E-4
1,48,-1.3489708666273247E-4
1,723,1.3434406365079994E-4
1,624,1.3418486943461645E-4
1,579,-1.3295223392608763E-4
1,99,1.3227946106347682E-4
1,63,-1.320400032932358E-4
1,837,1.316700952444151E-4
1,140,-1.3147815680046113E-4
1,354,-1.3131654080293163E-4
1,598,1.3122884568814383E-4
1,390,-1.3114962627627013E-4
1,649,-1.3046292314581435E-4
1,925,-1.2997577724808518E-4
1,903,-1.299024938334028E-4
1,891,-1.2988347567946884E-4
1,541,-1.2971860305795174E-4
1,384,-1.2963386242733206E-4
1,272,-1.296223723297496E-4
1,281,-1.2886132729192777E-4
1,149,1.2806541094788254E-4
1,392,-1.2774483326899444E-4
1,433,-1.2737779190759245E-4
1,515,1.2701385648287414E-4
1,943,-1.2686025242521315E-4
1,576,-1.2583945756920948E-4
1,916,-1.255194981722264E-4
1,447,1.2513336974520378E-4
1,53,1.2481795603794165E-4
1,801,1.247787988596668E-4
1,83,-1.2422074879157906E-4
1,822,-1.2395200041526917E-4
1,247,-1.230700858432923E-4
1,491,1.229564090040559E-4
1,242,1.2279875565135537E-4
1,679,-1.2258575208521852E-4
1,221,-1.2241325886408933E-4
1,146,1.222544465243257E-4
1,42,1.222508811849401E-4
1,809,-1.2223690201543892E-4
1,213,1.2202050749221842E-4
1,338,1.2155068794187428E-4
1,663,1.2150356754128473E-4
1,452,1.2144913937839192E-4
1,25,1.2101361215311817E-4
1,621,1.2067555268781306E-4
1,545,1.2044779061849655E-4
1,524,1.198639777061343E-4
1,37,-1.19838084836081E-4
1,532,-1.1940904116738754E-4
1,678,1.1939692775167382E-4
1,899,-1.1929098885798213E-4
1,461,-1.1914770974187259E-4
1,474,-1.1910810114196875E-4
1,457,-1.1895152189853416E-4
1,725,1.184581084011893E-4
1,469,-1.1788934929618969E-4
1,18,-1.173869645365568E-4
1,351,1.1736057124793875E-4
1,282,1.168904915081974E-4
1,543,-1.1683597221442693E-4
1,830,1.16329597014383E-4
1,215,1.1548556464269349E-4
1,996,1.1535611744789883E-4
1,573,1.1518127857906136E-4
1,889,-1.1517290290431838E-4
1,511,1.150215412577923E-4
1,177,-1.1492088068536383E-4
