order,indices,coefficient
1,935,-2.0206888949552473E-4
1,24,-2.0188083234937298E-4
1,694,2.015267559978034E-4
1,562,2.0123049963256055E-4
1,470,2.0082780160016515E-4
1,111,-1.9882772397707512E-4
1,590,1.9857563013857643E-4
1,104,1.9748228619926128E-4
1,124,1.973635594450875E-4
1,399,1.9687388337245998E-4
1,506,1.9631809574181716E-4
1,671,-1.9549273278806728E-4
1,109,1.951779388070843E-4
1,90,-1.9510678425877363E-4
1,155,1.9488597856609933E-4
1,223,-1.945749560069383E-4
1,271,1.9444230886803924E-4
1,840,-1.9376480332972606E-4
1,180,1.9338683734105135E-4
1,865,-1.9330984980959166E-4
1,5,1.9201611493507896E-4
1,7,-1.91963524446201E-4
1,58,1.9131755303102726E-4
1,216,1.9123451091437163E-4
1,301,1.9090924634334298E-4
1,612,1.906192993354519E-4
1,237,-1.9033306165163654E-4
1,222,-1.8983727421315833E-4
1,31,1.8902782559219173E-4
1,769,-1.8823125508358232E-4
1,352,-1.877238054106511E-4
1,822,-1.8757817344183098E-4
1,980,-1.8714983868142371E-4
1,821,-1.871072707136162E-4
1,131,-1.870570064703882E-4
1,733,1.866628810428474E-4
1,666,1.86278897571951E-4
1,269,1.8568483976837586E-4
1,946,1.853557925996917E-4
1,85,-1.8535353968448156E-4
1,337,1.853035961733836E-4
1,383,1.8422108507043047E-4
1,258,-1.8324027645757917E-4
1,807,1.8264828932335425E-4
1,134,-1.8249182886451293E-4
1,905,-1.8168053768350268E-4
1,897,-1.8137261492158583E-4
1,578,-1.810337849732998E-4
1,553,-1.8083009219547477E-4
1,398,1.7971276071258264E-4
1,393,1.7948074585831438E-4
1,728,1.7838200793096729E-4
1,931,-1.7747494742459074E-4
1,845,-1.771901613006241E-4
1,244,-1.7716201882064987E-4
1,319,1.769481981469158E-4
1,42,-1.7672412078861445E-4
1,66,-1.7664386891383152E-4
1,14,1.7655051508874562E-4
1,536,1.7609300919267895E-4
1,225,-1.753578598399606E-4
1,854,-1.7529517825957418E-4
1,194,-1.747641470368362E-4
1,996,-1.747379017124875E-4
1,713,1.737976263731004E-4
1,633,-1.7354783287118957E-4
1,662,-1.735342753622604E-4
1,242,1.735011217748263E-4
1,705,-1.7322967953188256E-4
1,913,1.7313744400868086E-4
1,3,1.730305399792875E-4
1,25,1.729381981485767E-4
1,936,-1.7271584302508132E-4
1,49,-1.726952539957305E-4
1,688,-1.7253425654565658E-4
1,148,1.7248671878736124E-4
1,958,1.7242532768270874E-4
1,585,1.7134984187393775E-4
1,514,-1.7066771771861018E-4
